,artist,title,label,rank,week_start,week_end,genre
0,Ufo361,Stay High,Stay High,1,07.05.2021,13.05.2021,HipHop
1,Cro,Trip,Urban,2,07.05.2021,13.05.2021,HipHop
2,Haftbefehl,Das schwarze Album,Urban,3,07.05.2021,13.05.2021,HipHop
3,Haze,TagMond,Alte Schule,4,07.05.2021,13.05.2021,HipHop
4,Jamule,Sold,Life Is Pain,5,07.05.2021,13.05.2021,HipHop
5,Samra,Rohdiamant,Urban,6,07.05.2021,13.05.2021,HipHop
6,Donato,Anarco,VinDig,7,07.05.2021,13.05.2021,HipHop
7,DJ Khaled,Khaled Khaled,Epic,8,07.05.2021,13.05.2021,HipHop
8,Takt32,Demut und Größenwahn,Kiezkunst,9,07.05.2021,13.05.2021,HipHop
9,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,10,07.05.2021,13.05.2021,HipHop
10,Bonez MC,Hollywood,Universal Domestic Vertigo,11,07.05.2021,13.05.2021,HipHop
11,Apache 207,Treppenhaus,Four Music / TwoSides,12,07.05.2021,13.05.2021,HipHop
12,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,13,07.05.2021,13.05.2021,HipHop
13,Kontra K,Vollmond,BMG,14,07.05.2021,13.05.2021,HipHop
14,Juice WRLD,Legends Never Die,Interscope,15,07.05.2021,13.05.2021,HipHop
15,XXXTentacion,?,Bad Vibes Forever,16,07.05.2021,13.05.2021,HipHop
16,Apache 207,Platte,Four Music / TwoSides,17,07.05.2021,13.05.2021,HipHop
17,Miksu / Macloud,Futura,Futura,18,07.05.2021,13.05.2021,HipHop
18,Bushido prod. Sonny Black & Saad,Carlo Cokxxx Nutten II,Urban,19,07.05.2021,13.05.2021,HipHop
19,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,20,07.05.2021,13.05.2021,HipHop
20,Samra,Rohdiamant,Urban,1,30.04.2021,06.05.2021,HipHop
21,Animus,Beastmode 4 - Kamikaze Samurai,Ersguterjunge,2,30.04.2021,06.05.2021,HipHop
22,M.I.K.I & Authentic,MalocherMusik - Sampler Vol. 1,Malochermusik,3,30.04.2021,06.05.2021,HipHop
23,BRKN,Drama,sweet,4,30.04.2021,06.05.2021,HipHop
24,Silla,Unsterblich,Major Movez,5,30.04.2021,06.05.2021,HipHop
25,Miksu / Macloud,Futura,Futura,6,30.04.2021,06.05.2021,HipHop
26,Kwam.E,Der echte Norden,Deluxeboxen.de,7,30.04.2021,06.05.2021,HipHop
27,Trippie Boi,Rock Boi,Deluxeboxen.de,8,30.04.2021,06.05.2021,HipHop
28,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,9,30.04.2021,06.05.2021,HipHop
29,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,10,30.04.2021,06.05.2021,HipHop
30,Bonez MC,Hollywood,Universal Domestic Vertigo,11,30.04.2021,06.05.2021,HipHop
31,Apache 207,Treppenhaus,Four Music / TwoSides,12,30.04.2021,06.05.2021,HipHop
32,Juice WRLD,Legends Never Die,Interscope,13,30.04.2021,06.05.2021,HipHop
33,Lugatti & 9ine,So wie gehabt,GOLD LEAGUE,14,30.04.2021,06.05.2021,HipHop
34,Kontra K,Vollmond,BMG,15,30.04.2021,06.05.2021,HipHop
35,Apache 207,Platte,Four Music / TwoSides,16,30.04.2021,06.05.2021,HipHop
36,Mac Miller,Circles,Warner Music International,17,30.04.2021,06.05.2021,HipHop
37,XXXTentacion,?,Bad Vibes Forever,18,30.04.2021,06.05.2021,HipHop
38,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,19,30.04.2021,06.05.2021,HipHop
39,"Young Stoner Life, Young Thug & Gunna",Slime Language 2,300 Entertainment,20,30.04.2021,06.05.2021,HipHop
40,Edo Saiya,X6,Recordjet,1,23.04.2021,29.04.2021,HipHop
41,Mädness,Mäd Löve,Mädness,2,23.04.2021,29.04.2021,HipHop
42,"Young Stoner Life, Young Thug & Gunna",Slime Language 2,300 Entertainment,3,23.04.2021,29.04.2021,HipHop
43,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,4,23.04.2021,29.04.2021,HipHop
44,Jack Orsen,Rap Roboter,Embassy of Music,5,23.04.2021,29.04.2021,HipHop
45,Bonez MC,Hollywood,Universal Domestic Vertigo,6,23.04.2021,29.04.2021,HipHop
46,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,7,23.04.2021,29.04.2021,HipHop
47,Apache 207,Treppenhaus,Four Music / TwoSides,8,23.04.2021,29.04.2021,HipHop
48,Kontra K,Vollmond,BMG,9,23.04.2021,29.04.2021,HipHop
49,Juice WRLD,Legends Never Die,Interscope,10,23.04.2021,29.04.2021,HipHop
50,Lil Peep,"Come Over When You're Sober, Pt. 2",Columbia,11,23.04.2021,29.04.2021,HipHop
51,Apache 207,Platte,Four Music / TwoSides,12,23.04.2021,29.04.2021,HipHop
52,TJ_babybrain,Emotional_Breakdowns,Space Music,13,23.04.2021,29.04.2021,HipHop
53,Fler,Widder,Maskulin,14,23.04.2021,29.04.2021,HipHop
54,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,15,23.04.2021,29.04.2021,HipHop
55,XXXTentacion,?,Bad Vibes Forever,16,23.04.2021,29.04.2021,HipHop
56,Kool Savas,AGHORI,Sony Music / Essah Media GmbH,17,23.04.2021,29.04.2021,HipHop
57,Sido,Ich & keine Maske,Urban,18,23.04.2021,29.04.2021,HipHop
58,Shindy,Drama,Sony Music / Friends With Money,19,23.04.2021,29.04.2021,HipHop
59,Mois & Maestro,FML,Keller GmbH,20,23.04.2021,29.04.2021,HipHop
60,Chakuza,Unter der Sonne / Monster in mir 2.0,Mehr als Musik,1,16.04.2021,22.04.2021,HipHop
61,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,2,16.04.2021,22.04.2021,HipHop
62,Kontra K,Vollmond,BMG,3,16.04.2021,22.04.2021,HipHop
63,Bonez MC,Hollywood,Universal Domestic Vertigo,4,16.04.2021,22.04.2021,HipHop
64,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,5,16.04.2021,22.04.2021,HipHop
65,Apache 207,Treppenhaus,Four Music / TwoSides,6,16.04.2021,22.04.2021,HipHop
66,Juice WRLD,Legends Never Die,Interscope,7,16.04.2021,22.04.2021,HipHop
67,Fler,Widder,Maskulin,8,16.04.2021,22.04.2021,HipHop
68,Apache 207,Platte,Four Music / TwoSides,9,16.04.2021,22.04.2021,HipHop
69,Sierra Kidd,NAOSU,TeamFuckSleep,10,16.04.2021,22.04.2021,HipHop
70,Kool Savas,AGHORI,Sony Music / Essah Media GmbH,11,16.04.2021,22.04.2021,HipHop
71,Sido,Ich & keine Maske,Urban,12,16.04.2021,22.04.2021,HipHop
72,XXXTentacion,?,Bad Vibes Forever,13,16.04.2021,22.04.2021,HipHop
73,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,14,16.04.2021,22.04.2021,HipHop
74,Shindy,Drama,Sony Music / Friends With Money,15,16.04.2021,22.04.2021,HipHop
75,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,16,16.04.2021,22.04.2021,HipHop
76,Travis Scott,Astroworld,Epic,17,16.04.2021,22.04.2021,HipHop
77,Capital Bra,CB7,Urban,18,16.04.2021,22.04.2021,HipHop
78,Lil Peep,"Come Over When You're Sober, Pt. 2",Columbia,19,16.04.2021,22.04.2021,HipHop
79,Post Malone,Hollywood's Bleeding,Republic Records,20,16.04.2021,22.04.2021,HipHop
80,Sierra Kidd,NAOSU,TeamFuckSleep,1,09.04.2021,15.04.2021,HipHop
81,Bosca,Solange es schlägt 2,Freunde von Niemand,2,09.04.2021,15.04.2021,HipHop
82,Zombiez,Zatan lebt!,Walk This Way Records,3,09.04.2021,15.04.2021,HipHop
83,Enemy,Stunde Null,Chapter One,4,09.04.2021,15.04.2021,HipHop
84,Fler,Widder,Maskulin,5,09.04.2021,15.04.2021,HipHop
85,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,6,09.04.2021,15.04.2021,HipHop
86,Kontra K,Vollmond,BMG,7,09.04.2021,15.04.2021,HipHop
87,Apache 207,Treppenhaus,Four Music / TwoSides,8,09.04.2021,15.04.2021,HipHop
88,Bonez MC,Hollywood,Universal Domestic Vertigo,9,09.04.2021,15.04.2021,HipHop
89,Majoe & Silva,Lockdown,Banger Musik,10,09.04.2021,15.04.2021,HipHop
90,Juice WRLD,Legends Never Die,Interscope,11,09.04.2021,15.04.2021,HipHop
91,Apache 207,Platte,Four Music / TwoSides,12,09.04.2021,15.04.2021,HipHop
92,Play69,Babylon II,Urban,13,09.04.2021,15.04.2021,HipHop
93,NF,Clouds (The Mixtape),Capitol,14,09.04.2021,15.04.2021,HipHop
94,Kool Savas,AGHORI,Sony Music / Essah Media GmbH,15,09.04.2021,15.04.2021,HipHop
95,Lil Tjay,Destined 2 Win,Columbia,16,09.04.2021,15.04.2021,HipHop
96,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,17,09.04.2021,15.04.2021,HipHop
97,XXXTentacion,?,Bad Vibes Forever,18,09.04.2021,15.04.2021,HipHop
98,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,19,09.04.2021,15.04.2021,HipHop
99,Post Malone,Hollywood's Bleeding,Republic Records,20,09.04.2021,15.04.2021,HipHop
100,Fler,Widder,Maskulin,1,01.04.2021,08.04.2021,HipHop
101,NF,Clouds (The Mixtape),Capitol,2,01.04.2021,08.04.2021,HipHop
102,Hirntot Posse,"Lost Tapes, Vol. 1",Hirntot Records,3,01.04.2021,08.04.2021,HipHop
103,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,4,01.04.2021,08.04.2021,HipHop
104,Apache 207,Treppenhaus,Four Music / TwoSides,5,01.04.2021,08.04.2021,HipHop
105,Bonez MC,Hollywood,Universal Domestic Vertigo,6,01.04.2021,08.04.2021,HipHop
106,Kontra K,Vollmond,BMG,7,01.04.2021,08.04.2021,HipHop
107,Apache 207,Platte,Four Music / TwoSides,8,01.04.2021,08.04.2021,HipHop
108,Kool Savas,AGHORI,Sony Music / Essah Media GmbH,9,01.04.2021,08.04.2021,HipHop
109,Juice WRLD,Legends Never Die,Interscope,10,01.04.2021,08.04.2021,HipHop
110,Bausa,100 Pro,Downbeat,11,01.04.2021,08.04.2021,HipHop
111,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,12,01.04.2021,08.04.2021,HipHop
112,PA Sports,Streben nach Glück,Life Is Pain,13,01.04.2021,08.04.2021,HipHop
113,XXXTentacion,?,Bad Vibes Forever,14,01.04.2021,08.04.2021,HipHop
114,Travis Scott,Astroworld,Epic,15,01.04.2021,08.04.2021,HipHop
115,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,16,01.04.2021,08.04.2021,HipHop
116,Capital Bra,CB7,Urban,17,01.04.2021,08.04.2021,HipHop
117,Sido,Ich & keine Maske,Urban,18,01.04.2021,08.04.2021,HipHop
118,Post Malone,Hollywood's Bleeding,Republic Records,19,01.04.2021,08.04.2021,HipHop
119,Shindy,Drama,Sony Music / Friends With Money,20,01.04.2021,08.04.2021,HipHop
120,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,1,26.03.2021,31.03.2021,HipHop
121,PA Sports,Streben nach Glück,Life Is Pain,2,26.03.2021,31.03.2021,HipHop
122,Kool Savas,AGHORI,Sony Music / Essah Media GmbH,3,26.03.2021,31.03.2021,HipHop
123,Apache 207,Treppenhaus,Four Music / TwoSides,4,26.03.2021,31.03.2021,HipHop
124,Kontra K,Vollmond,BMG,5,26.03.2021,31.03.2021,HipHop
125,Bonez MC,Hollywood,Universal Domestic Vertigo,6,26.03.2021,31.03.2021,HipHop
126,Juice WRLD,Legends Never Die,Interscope,7,26.03.2021,31.03.2021,HipHop
127,Bausa,100 Pro,Downbeat,8,26.03.2021,31.03.2021,HipHop
128,Apache 207,Platte,Four Music / TwoSides,9,26.03.2021,31.03.2021,HipHop
129,XXXTentacion,?,Bad Vibes Forever,10,26.03.2021,31.03.2021,HipHop
130,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,11,26.03.2021,31.03.2021,HipHop
131,Capital Bra,CB7,Urban,12,26.03.2021,31.03.2021,HipHop
132,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,13,26.03.2021,31.03.2021,HipHop
133,Sido,Ich & keine Maske,Urban,14,26.03.2021,31.03.2021,HipHop
134,Disarstar,Deutscher Oktober,Warner Music Germany,15,26.03.2021,31.03.2021,HipHop
135,Post Malone,Hollywood's Bleeding,Republic Records,16,26.03.2021,31.03.2021,HipHop
136,Faroon,Trap Billie Jean V.1 Mixtape,XY Records,17,26.03.2021,31.03.2021,HipHop
137,Nizi19 & Karamel19,5 Sterne,Columbia/1019 Records,18,26.03.2021,31.03.2021,HipHop
138,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,19,26.03.2021,31.03.2021,HipHop
139,Juice WRLD,Goodbye & Good Riddance,Juice WRLD Mixtape,20,26.03.2021,31.03.2021,HipHop
140,PA Sports,Streben nach Glück,Life Is Pain,1,19.03.2021,25.03.2021,HipHop
141,Disarstar,Deutscher Oktober,Warner Music Germany,2,19.03.2021,25.03.2021,HipHop
142,King Orgasmus One,Manifest,ILM Records,3,19.03.2021,25.03.2021,HipHop
143,Kool Savas,AGHORI,Sony Music / Essah Media GmbH,4,19.03.2021,25.03.2021,HipHop
144,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,5,19.03.2021,25.03.2021,HipHop
145,Bausa,100 Pro,Downbeat,6,19.03.2021,25.03.2021,HipHop
146,Apache 207,Treppenhaus,Four Music / TwoSides,7,19.03.2021,25.03.2021,HipHop
147,Kontra K,Vollmond,BMG,8,19.03.2021,25.03.2021,HipHop
148,Bonez MC,Hollywood,Universal Domestic Vertigo,9,19.03.2021,25.03.2021,HipHop
149,Juice WRLD,Legends Never Die,Interscope,10,19.03.2021,25.03.2021,HipHop
150,Apache 207,Platte,Four Music / TwoSides,11,19.03.2021,25.03.2021,HipHop
151,XXXTentacion,?,Bad Vibes Forever,12,19.03.2021,25.03.2021,HipHop
152,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,13,19.03.2021,25.03.2021,HipHop
153,Juice WRLD,Goodbye & Good Riddance,Juice WRLD Mixtape,14,19.03.2021,25.03.2021,HipHop
154,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,15,19.03.2021,25.03.2021,HipHop
155,DJ Muggs The Black Goat,Dies Occidendum,Sacred Bones Records,16,19.03.2021,25.03.2021,HipHop
156,Capital Bra,CB7,Urban,17,19.03.2021,25.03.2021,HipHop
157,Sido,Ich & keine Maske,Urban,18,19.03.2021,25.03.2021,HipHop
158,Post Malone,Hollywood's Bleeding,Republic Records,19,19.03.2021,25.03.2021,HipHop
159,Bonez MC,Hollywood Uncut,187 Strassenbande,20,19.03.2021,25.03.2021,HipHop
160,King Orgasmus One,Manifest,ILM Records,1,12.03.2021,18.03.2021,HipHop
161,Herzog,Herzi,Sony Music / BombenProdukt,2,12.03.2021,18.03.2021,HipHop
162,Bausa,100 Pro,Downbeat,3,12.03.2021,18.03.2021,HipHop
163,Kool Savas,AGHORI,Sony Music / Essah Media GmbH,4,12.03.2021,18.03.2021,HipHop
164,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,5,12.03.2021,18.03.2021,HipHop
165,Apache 207,Treppenhaus,Four Music / TwoSides,6,12.03.2021,18.03.2021,HipHop
166,Kontra K,Vollmond,BMG,7,12.03.2021,18.03.2021,HipHop
167,Bonez MC,Hollywood,Universal Domestic Vertigo,8,12.03.2021,18.03.2021,HipHop
168,Juice WRLD,Legends Never Die,Interscope,9,12.03.2021,18.03.2021,HipHop
169,Apache 207,Platte,Four Music / TwoSides,10,12.03.2021,18.03.2021,HipHop
170,King Geedorah,Take Me To Your Leader,Big Dada,11,12.03.2021,18.03.2021,HipHop
171,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,12,12.03.2021,18.03.2021,HipHop
172,Drake,Scary Hours 2,Ovo,13,12.03.2021,18.03.2021,HipHop
173,Capital Bra,CB7,Urban,14,12.03.2021,18.03.2021,HipHop
174,XXXTentacion,?,Bad Vibes Forever,15,12.03.2021,18.03.2021,HipHop
175,Sido,Ich & keine Maske,Urban,16,12.03.2021,18.03.2021,HipHop
176,Kontra K,Sie wollten Wasser doch kriegen Benzin,BMG,17,12.03.2021,18.03.2021,HipHop
177,Post Malone,Hollywood's Bleeding,Republic Records,18,12.03.2021,18.03.2021,HipHop
178,Shindy,Drama,Sony Music / Friends With Money,19,12.03.2021,18.03.2021,HipHop
179,Juice WRLD,Goodbye & Good Riddance,Juice WRLD Mixtape,20,12.03.2021,18.03.2021,HipHop
180,Bausa,100 Pro,Downbeat,1,05.03.2021,11.03.2021,HipHop
181,Kool Savas,AGHORI,Sony Music / Essah Media GmbH,2,05.03.2021,11.03.2021,HipHop
182,Kynda Gray,Der Teufel auf meiner Schulter sagt es wird alles okay,GOLD LEAGUE,3,05.03.2021,11.03.2021,HipHop
183,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,4,05.03.2021,11.03.2021,HipHop
184,Apache 207,Treppenhaus,Four Music / TwoSides,5,05.03.2021,11.03.2021,HipHop
185,Bonez MC,Hollywood,Universal Domestic Vertigo,6,05.03.2021,11.03.2021,HipHop
186,Juice WRLD,Legends Never Die,Interscope,7,05.03.2021,11.03.2021,HipHop
187,Kontra K,Vollmond,BMG,8,05.03.2021,11.03.2021,HipHop
188,Apache 207,Platte,Four Music / TwoSides,9,05.03.2021,11.03.2021,HipHop
189,XXXTentacion,?,Bad Vibes Forever,10,05.03.2021,11.03.2021,HipHop
190,Monet192,Four Seasons,Warner Music Germany,11,05.03.2021,11.03.2021,HipHop
191,Capital Bra,CB7,Urban,12,05.03.2021,11.03.2021,HipHop
192,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,13,05.03.2021,11.03.2021,HipHop
193,Katja Krasavice,Eure Mami,Katja Krasavice,14,05.03.2021,11.03.2021,HipHop
194,Post Malone,Hollywood's Bleeding,Republic Records,15,05.03.2021,11.03.2021,HipHop
195,Bonez MC,Hollywood Uncut,187 Strassenbande,16,05.03.2021,11.03.2021,HipHop
196,FiNCH ASOZiAL,Fliesentisch Romantik 2,Walk This Way Records,17,05.03.2021,11.03.2021,HipHop
197,K.I.Z,Und das Geheimnis der unbeglichenen Bordellrechnung,Eklat Tonträger,18,05.03.2021,11.03.2021,HipHop
198,Sido,Ich & keine Maske,Urban,19,05.03.2021,11.03.2021,HipHop
199,Eminem,Music To Be Murdered By,Interscope,20,05.03.2021,11.03.2021,HipHop
200,Kool Savas,AGHORI,Sony Music / Essah Media GmbH,1,26.02.2021,04.03.2021,HipHop
201,FiNCH ASOZiAL,Fliesentisch Romantik 2,Walk This Way Records,2,26.02.2021,04.03.2021,HipHop
202,Monet192,Four Seasons,Warner Music Germany,3,26.02.2021,04.03.2021,HipHop
203,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,4,26.02.2021,04.03.2021,HipHop
204,Apache 207,Treppenhaus,Four Music / TwoSides,5,26.02.2021,04.03.2021,HipHop
205,Bonez MC,Hollywood,Universal Domestic Vertigo,6,26.02.2021,04.03.2021,HipHop
206,Audio88 & Yassin,Todesliste,Normale Musik,7,26.02.2021,04.03.2021,HipHop
207,Juice WRLD,Legends Never Die,Interscope,8,26.02.2021,04.03.2021,HipHop
208,Apache 207,Platte,Four Music / TwoSides,9,26.02.2021,04.03.2021,HipHop
209,Kontra K,Vollmond,BMG,10,26.02.2021,04.03.2021,HipHop
210,Perverz,Mein Kopf zerplatzt 3,Hirntot Records,11,26.02.2021,04.03.2021,HipHop
211,Katja Krasavice,Eure Mami,Katja Krasavice,12,26.02.2021,04.03.2021,HipHop
212,XXXTentacion,?,Bad Vibes Forever,13,26.02.2021,04.03.2021,HipHop
213,Capital Bra,CB7,Urban,14,26.02.2021,04.03.2021,HipHop
214,Bonez MC,Hollywood Uncut,187 Strassenbande,15,26.02.2021,04.03.2021,HipHop
215,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,16,26.02.2021,04.03.2021,HipHop
216,Dardan,Mister Dardy,Hypnotize Entertainment,17,26.02.2021,04.03.2021,HipHop
217,Sido,Ich & keine Maske,Urban,18,26.02.2021,04.03.2021,HipHop
218,Post Malone,Hollywood's Bleeding,Republic Records,19,26.02.2021,04.03.2021,HipHop
219,Bonez MC & RAF Camora,Palmen aus Plastik 2,Universal Domestic Vertigo,20,26.02.2021,04.03.2021,HipHop
220,Audio88 & Yassin,Todesliste,Normale Musik,1,19.02.2021,25.02.2021,HipHop
221,Vega,069,Urban,2,19.02.2021,25.02.2021,HipHop
222,Slowthai,Tyron,Polydor,3,19.02.2021,25.02.2021,HipHop
223,Apache 207,Treppenhaus,Four Music / TwoSides,4,19.02.2021,25.02.2021,HipHop
224,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,5,19.02.2021,25.02.2021,HipHop
225,Bonez MC,Hollywood,Universal Domestic Vertigo,6,19.02.2021,25.02.2021,HipHop
226,Juice WRLD,Legends Never Die,Interscope,7,19.02.2021,25.02.2021,HipHop
227,Katja Krasavice,Eure Mami,Katja Krasavice,8,19.02.2021,25.02.2021,HipHop
228,Apache 207,Platte,Four Music / TwoSides,9,19.02.2021,25.02.2021,HipHop
229,Dardan,Mister Dardy,Hypnotize Entertainment,10,19.02.2021,25.02.2021,HipHop
230,Kontra K,Vollmond,BMG,11,19.02.2021,25.02.2021,HipHop
231,XXXTentacion,?,Bad Vibes Forever,12,19.02.2021,25.02.2021,HipHop
232,Capital Bra,CB7,Urban,13,19.02.2021,25.02.2021,HipHop
233,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,14,19.02.2021,25.02.2021,HipHop
234,LX,Inhale / Exhale,Chapter One,15,19.02.2021,25.02.2021,HipHop
235,Bonez MC,Hollywood Uncut,187 Strassenbande,16,19.02.2021,25.02.2021,HipHop
236,Eminem,Music To Be Murdered By,Interscope,17,19.02.2021,25.02.2021,HipHop
237,Post Malone,Hollywood's Bleeding,Republic Records,18,19.02.2021,25.02.2021,HipHop
238,Sido,Ich & keine Maske,Urban,19,19.02.2021,25.02.2021,HipHop
239,Lil Peep,"Come Over When You're Sober, Pt. 2",Columbia,20,19.02.2021,25.02.2021,HipHop
240,Dardan,Mister Dardy,Hypnotize Entertainment,1,12.02.2021,18.02.2021,HipHop
241,Katja Krasavice,Eure Mami,Katja Krasavice,2,12.02.2021,18.02.2021,HipHop
242,DISSY,Bugtape,Caroline Records,3,12.02.2021,18.02.2021,HipHop
243,Apache 207,Treppenhaus,Four Music / TwoSides,4,12.02.2021,18.02.2021,HipHop
244,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,5,12.02.2021,18.02.2021,HipHop
245,Cashisclay,Exzess,Attitude Movement,6,12.02.2021,18.02.2021,HipHop
246,Bonez MC,Hollywood,Universal Domestic Vertigo,7,12.02.2021,18.02.2021,HipHop
247,Juice WRLD,Legends Never Die,Interscope,8,12.02.2021,18.02.2021,HipHop
248,Apache 207,Platte,Four Music / TwoSides,9,12.02.2021,18.02.2021,HipHop
249,Kontra K,Vollmond,BMG,10,12.02.2021,18.02.2021,HipHop
250,XXXTentacion,?,Bad Vibes Forever,11,12.02.2021,18.02.2021,HipHop
251,Eminem,Music To Be Murdered By,Interscope,12,12.02.2021,18.02.2021,HipHop
252,LX,Inhale / Exhale,Chapter One,13,12.02.2021,18.02.2021,HipHop
253,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,14,12.02.2021,18.02.2021,HipHop
254,Capital Bra,CB7,Urban,15,12.02.2021,18.02.2021,HipHop
255,Bonez MC,Hollywood Uncut,187 Strassenbande,16,12.02.2021,18.02.2021,HipHop
256,Post Malone,Hollywood's Bleeding,Republic Records,17,12.02.2021,18.02.2021,HipHop
257,Asche & Kollegah,Natural Born Killas,Asche,18,12.02.2021,18.02.2021,HipHop
258,Sido,Ich & keine Maske,Urban,19,12.02.2021,18.02.2021,HipHop
259,Lil Peep,"Come Over When You're Sober, Pt. 2",Columbia,20,12.02.2021,18.02.2021,HipHop
260,Katja Krasavice,Eure Mami,Katja Krasavice,1,05.02.2021,11.02.2021,HipHop
261,Deamon,Wut stoppen,KRB Mode,2,05.02.2021,11.02.2021,HipHop
262,65Goonz,Cash Me If U Can,2Live Entertainment,3,05.02.2021,11.02.2021,HipHop
263,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,4,05.02.2021,11.02.2021,HipHop
264,Apache 207,Treppenhaus,Four Music / TwoSides,5,05.02.2021,11.02.2021,HipHop
265,Bonez MC,Hollywood,Universal Domestic Vertigo,6,05.02.2021,11.02.2021,HipHop
266,LX,Inhale / Exhale,Chapter One,7,05.02.2021,11.02.2021,HipHop
267,Eminem,Music To Be Murdered By,Interscope,8,05.02.2021,11.02.2021,HipHop
268,Juice WRLD,Legends Never Die,Interscope,9,05.02.2021,11.02.2021,HipHop
269,Kontra K,Vollmond,BMG,10,05.02.2021,11.02.2021,HipHop
270,Antifuchs,Zurück im Fuxxxbau,Wolfpack Entertainment,11,05.02.2021,11.02.2021,HipHop
271,Apache 207,Platte,Four Music / TwoSides,12,05.02.2021,11.02.2021,HipHop
272,Asche & Kollegah,Natural Born Killas,Asche,13,05.02.2021,11.02.2021,HipHop
273,XXXTentacion,?,Bad Vibes Forever,14,05.02.2021,11.02.2021,HipHop
274,Ssio,"0,9",Alles Oder Nix Records,15,05.02.2021,11.02.2021,HipHop
275,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,16,05.02.2021,11.02.2021,HipHop
276,Capital Bra,CB7,Urban,17,05.02.2021,11.02.2021,HipHop
277,Bonez MC,Hollywood Uncut,187 Strassenbande,18,05.02.2021,11.02.2021,HipHop
278,Post Malone,Hollywood's Bleeding,Republic Records,19,05.02.2021,11.02.2021,HipHop
279,Zuna,Mele7 2,KMN Gang,20,05.02.2021,11.02.2021,HipHop
280,Asche & Kollegah,Natural Born Killas,Asche,1,29.01.2021,04.02.2021,HipHop
281,LX,Inhale / Exhale,Chapter One,2,29.01.2021,04.02.2021,HipHop
282,Pop Smoke,Shoot For The Stars Aim For The Moon,Republic Records,3,29.01.2021,04.02.2021,HipHop
283,Apache 207,Treppenhaus,Four Music / TwoSides,4,29.01.2021,04.02.2021,HipHop
284,Eminem,Music To Be Murdered By,Interscope,5,29.01.2021,04.02.2021,HipHop
285,Bonez MC,Hollywood,Universal Domestic Vertigo,6,29.01.2021,04.02.2021,HipHop
286,Musso,Don't Panic,Press Play,7,29.01.2021,04.02.2021,HipHop
287,Kontra K,Vollmond,BMG,8,29.01.2021,04.02.2021,HipHop
288,Juice WRLD,Legends Never Die,Interscope,9,29.01.2021,04.02.2021,HipHop
289,Apache 207,Platte,Four Music / TwoSides,10,29.01.2021,04.02.2021,HipHop
290,Zuna,Mele7 2,KMN Gang,11,29.01.2021,04.02.2021,HipHop
291,XXXTentacion,?,Bad Vibes Forever,12,29.01.2021,04.02.2021,HipHop
292,Bonez MC,Hollywood Uncut,187 Strassenbande,13,29.01.2021,04.02.2021,HipHop
293,Capital Bra,CB7,Urban,14,29.01.2021,04.02.2021,HipHop
294,Kendrick Lamar,"good kid, m.A.A.d city",Interscope,15,29.01.2021,04.02.2021,HipHop
295,K.I.Z,Und das Geheimnis der unbeglichenen Bordellrechnung,Eklat Tonträger,16,29.01.2021,04.02.2021,HipHop
296,Kitschkrieg,KitschKrieg,SoulForce Records / BMG,17,29.01.2021,04.02.2021,HipHop
297,Yung Kafa & Kücük Efendi,Yin und Yang,GOLD LEAGUE,18,29.01.2021,04.02.2021,HipHop
