,id,album_name,album_artist,album_release_date
69,6DJo82YYIxrR4XgchdLkX9,Safe,Kianush,2019-04-26
70,31hFfD2JLUbyBJ5QNhQKgn,Desperadoz II,PA Sports,2018-01-12
71,2x8XDFtv9Tou0uGPdFh80R,Instinkt,Kianush,2017-02-17
72,2PjvAtZwk3dBT2wPWK7yZF,Instinkt (Instrumental),Kianush,2017-02-17
73,4KXcYfJ0faxYWMtOabcjAa,Szenario (Deluxe),Kianush,2016-01-22
74,22gPyoqQ0Fkle8h7I9Lgpc,Szenario,Kianush,2016-01-22
75,1b55jHVVV5L3zpWMBq36qE,Desperadoz (Premium Edition),PA Sports,2014-09-19
76,135vlOZbl8SzaU8dGgSXTh,Capimo,Nimo,2019-03-22
77,2C7Yht2bvMGuX9CRRAFzbB,Alles auf Rot,Capo,2017-07-07
78,0GBclKp8Atm2ZhII3UuxX5,Hallo Monaco,Capo,2013-10-04
79,47FWOQTtBbVxPLR6PxOseT,NONSTOP,The Cratez,2020-02-28
80,5UmMjgZzL96Itv2IT9qj9i,NONSTOP,The Cratez,2020-02-28
81,0vQ7AqLuCBWt0Wh9lHmHKv,C'est plus comme avant,Ghetto Phénomène,2020-11-13
82,6o8jDaIkDE9DiqhLbCGS0K,C'est plus comme avant,Ghetto Phénomène,2020-11-06
83,6NCkUgs2PLYHOLe4tlQZZp,Money Time,Ghetto Phénomène,2019-11-08
84,6HUoNyTpkxQoOO3RO9eaU4,En catimini,Ghetto Phénomène,2017-10-06
85,5wLBty35ulFouNrkLKpCFs,La Vida Loca,Ghetto Phénomène,2017-03-03
86,3Q404uwqG7b5CQ3Z3n6H4j,Echo,Nate57,2019-12-20
87,6zaPe0lyUcQNyO5BPQILZ6,Revue (Freetrack Kompilation 2007 - 2009),Nate57,2017-12-24
88,3FwWZUuxQKtX6Bx2U0cQMv,Unter Deck (Mixtape),Nate57,2017-05-03
89,1GzVnZijfWPQOJARd2ombD,Gauna,Nate57,2016-03-25
90,3cziok6jzTmiOFd9IGHOp0,Land in Sicht,Nate57,2013-09-20
91,22mchVgeFiRFjc3StSIz0w,Auf der Jagd (Mixtape),Nate57,2011-08-12
92,6qgbVDX3G6IdlESEDUZnPY,Stress aufm Kiez,Nate57,2010-06-25
93,0DoEiHPZnACow1ivlPxofB,Verrückte Ratten (Mixtape),Nate57,2009-02-27
94,35YBM6t3HeU5r9F0NE3tiB,Willkommen auf St. Pauli (Mixtape),Nate57,2008-03-15
95,2L31RjYHNNlydrzBEwDTD0,AGHORI,Kool Savas,2021-02-19
96,04TM4lYgmoNMKpJ7Tgy52K,KKS,Kool Savas,2019-02-08
97,6QuWkRmCPHTXIJabMrLuSt,Royal Bunker,Kool Savas,2017-09-29
98,6woyj0loQeJjcX1t04aRZU,Essahdamus,Kool Savas,2016-10-28
99,7sCNpTR1APqAO2bvWz18i7,Märtyrer,Kool Savas,2014-11-14
100,0oclstbBk6K3h8SRrJefur,Aura Live,Kool Savas,2012-03-23
101,6nRsa7bnKI34FCPXkNbj4T,Aura (Exclusive Version),Kool Savas,2011-11-11
102,5CF8sggi5aUSptomzuGzQB,"Die John Bello Story, Vol. 3",Kool Savas,2010-03-12
103,0jNspxo8cMJC4mYoZFNZkg,"Die John Bello Story, Vol. 2",Kool Savas,2009-03-27
104,1Hsmx2neiUUIZQlsEHuqTg,"Die John Bello Story, Vol. 2",Kool Savas,2008-10-17
105,4Ar6edrDeMZcH3NvISOTlJ,Die John Bello Story,Kool Savas,2008-09-19
106,78KYH8e0CJwdYxyh4IUD1B,Tot oder lebendig,Kool Savas,2007-11-02
107,2s8KeDUtTw0JU8mNEvZyxf,Tot oder Lebendig,Kool Savas,2007
108,4fJ87IXNujMGRsN4KQSiYQ,Wer Hatz Erfunden?,Kool Savas,2006-12-01
109,6LWbXiwJZrt7f2qumiHniO,Optik Takeover,Kool Savas,2006-10-09
110,0ypFHP7dwXI7uAGzyLtsgN,Optik Takeover,Kool Savas,2006
111,1zzzToFPTK3axDyPAFH9Cn,ONE,Kool Savas,2005-03-29
112,35qXU3F2wuzPXe1d4Bj6UT,ONE,Kool Savas,2005-03-28
113,7mXXfQpAVFziSGbHy4AzdR,Die besten Tage sind gezählt,Kool Savas,2004-04-05
114,6fgwfOzruwYQQGc58GISJ3,Der beste Tag meines Lebens,Kool Savas,2002-07-07
115,1IAyQS6B2laEvgkLxZPWkl,059,LockeNumma19,2019-09-27
116,2XYMQN4r9l6pyB2WGpXE53,Mirrorz,KazOnDaBeat,2021-03-19
117,50DCFLrGKsiHCq3rT2yQuH,Mood Swingz,KazOnDaBeat,2019-05-30
118,1gKqZjlTpgIcZFuPMuQjKY,Freispruch,Brecho,2021-03-26
119,2HFifvq6DrxSXwg0dPxerr,Über Nacht,Brecho,2020-11-06
120,1171YHfX6uWsKPFK4D5Lyy,Jiggx,JIGGO,2020-09-18
121,6jeysLy4dpf92GQivsC3yA,"Sex, Drugs & Rock'n'roll",JIGGO,2020-03-13
122,39qIQqqihm9O7Cv4KqWUN9,Chérie,JIGGO,2019-10-25
123,2DJKq9sexPhMMcirN4Oox6,Casanova,JIGGO,2018-05-25
124,1HZDvQKz15zFEVJdaKEoVi,KitschKrieg,KitschKrieg,2020-08-07
125,0HGEwZXbJuwOyPml1zlts0,KitschKrieg,KitschKrieg,2020-08-07
126,6nNWkAwlHC0yIoKzzl7rnQ,Trettmann,Trettmann,2019-09-13
127,03iNJiD9tUpIdBLvHYwZwT,Trettmann,Trettmann,2019-09-13
128,0RGX4jwWKh3ELvPYQPQ0AI,#DIY,Trettmann,2017-09-29
129,53IJ9Yh8EcaYpEw1tSarDn,#DIY,Trettmann,2017-09-29
130,3rMEBmkIiddqmoyJNMTTCA,Fdw Vol.1,Gangsta47,2020-12-25
131,7CbsEPeywem7cZFLb8YoY3,Verboten,Twin,2018-08-31
132,79hQFcCfMhiGBUyhDaJzwT,AUUUFJETZT! (Deluxe Version),Twin,2016-02-05
133,29NxxObZShyZjLXd78yoWX,1312 Prinzip (Deluxe Version),Twin,2014-10-31
134,38Cq8WrYSPYcy6NBeL8ofL,13 vor 12 Mixtape,Twin,2013-12-13
135,4DNIXWa5FSk4Jwe3MyX6vo,Dreckig reden sauber flow'n,Kalazh44,2020-10-02
136,7AoF4Ibxb9J22u8AA7saNN,Diebe im Gesetz,Kalazh44,2016-09-23
