,title,artist,year,info
68,carol of the bells,John Tesh,1997,Peaked at No. 20 on Billboard's Hot Adult Contemporary Tracks chart in 1998.[12] A version by Kim Walker-Smith peaked at No. 13 on Billboard's Adult Contemporary chart in 2014.[108]
69,"caroling, caroling",Nat King Cole,1960,"Written by Alfred Burt & Wihla Hutson.[109] Also recorded by Natalie Cole, Tennessee Ernie Ford, and the King Family."
70,celebrate me home,Kenny Loggins,1977,"Title track of Loggins' 1977 debut solo album. Released as a single, the studio version reached No. 64 on the US Record World pop chart in the spring of 1978.[110] A 2015 version by LeAnn Rimes featuring Gavin DeGraw peaked at No. 12 on the Billboard Adult Contemporary chart in 2015.[111]"
71,cherry cherry christmas,Neil Diamond,2009,"Peaked at No. 4 on Billboard's Adult Contemporary chart.[112] First single released from and title track on Diamond's third holiday album, A Cherry Cherry Christmas."
72,child of god,Bobby Darin,1960,"Peaked at No. 95 on the Billboard Hot 100 singles chart.[113][114] B-side of Darin's hit single ""Christmas Auld Lang Syne""."
73,child of winter,The Beach Boys,1974,
74,"children, go where i send thee",Kenny Rogers featuring Home Free,2015,Peaked at No. 21 on Billboard's Hot Christian Songs chart in 2016. Another version by John Oates peaked at No. 29 on Billboard's Adult Contemporary chart in 2017.
75,children's christmas song,The Supremes,1965,Peaked at No. 7 on Billboard's Christmas Singles chart. Features a children's chorus on backing vocals.[115]
76,the chipmunk song ,The Chipmunks,1958,"Spent four weeks at No. 1 on the Billboard Hot 100 singles chart in 1958, and reached No. 5 on Billboard's Hot R&B Sides chart in 1959.[8][116] Written by Ross Bagdasarian (a.k.a. David Seville). The most popular novelty Christmas single in the U.S. through the 1960s. Launched a 50-year music career for the fictional character group."
77,c-h-r-i-s-t-m-a-s,"Eddy Arnold, the Tennessee Plowboy and his Guitar",1949,Peaked at No. 7 on Billboard's Country & Western Records Most Played by Folk Disk Jockeys charts.[2][117] Written by Eddy Arnold & Jenny Lou Carson. Also recorded by the Ames Brothers and Jim Reeves.
78,christmas ain't christmas ,The O'Jays,1969,"Written and produced by Kenny Gamble and Leon Huff. The song's original title was the longer ""(Christmas Ain't Christmas New Year's Ain't New Year's) Without the One You Love"". Reissued by the group's record label (Philly International) in 1973 following the group's huge success."
79,christmas all over again,Tom Petty and the Heartbreakers,1992,From the 1992 album A Very Special Christmas 2.[118] Subsequently featured later that year in the 1992 film Home Alone 2: Lost in New York.
80,christmas alphabet,The McGuire Sisters,1954,Peaked at No. 25 on the popular records chart. Features orchestration by Dick Jacobs.[47][119]
81,christmas at ground zero,"""Weird Al"" Yankovic",1986,
82,christmas at k-mart,Root Boy Slim,1978,
83,christmas at the zoo,The Flaming Lips,1995,"From the album Clouds Taste Metallic. Not intended to be a Christmas song, though the characteristic ""jingling bells"" are featured in the song, as well as talk of the holiday."
84,christmas auld lang syne,Bobby Darin,1960,"Peaked at No. 51 on the Billboard Hot 100 singles chart in 1961.[113][120] The B-side ""Child of God"" also charted for one week in 1960."
