,Unnamed: 0,id,album_name,album_artist,album_release_date,gender
68,68,3eelEjf7T7b4T74TxCvVkb,crossover,kianush,2020-04-02,male
69,69,6DJo82YYIxrR4XgchdLkX9,safe,kianush,2019-04-26,male
70,70,31hFfD2JLUbyBJ5QNhQKgn,desperadoz ii,pa sports,2018-01-12,male
71,71,2x8XDFtv9Tou0uGPdFh80R,instinkt,kianush,2017-02-17,male
72,72,2PjvAtZwk3dBT2wPWK7yZF,instinkt (instrumental),kianush,2017-02-17,male
73,73,4KXcYfJ0faxYWMtOabcjAa,szenario (deluxe),kianush,2016-01-22,male
74,74,22gPyoqQ0Fkle8h7I9Lgpc,szenario,kianush,2016-01-22,male
75,75,1b55jHVVV5L3zpWMBq36qE,desperadoz (premium edition),pa sports,2014-09-19,male
76,76,135vlOZbl8SzaU8dGgSXTh,capimo,nimo,2019-03-22,male
77,77,2C7Yht2bvMGuX9CRRAFzbB,alles auf rot,capo,2017-07-07,male
78,78,0GBclKp8Atm2ZhII3UuxX5,hallo monaco,capo,2013-10-04,male
79,79,47FWOQTtBbVxPLR6PxOseT,nonstop,the cratez,2020-02-28,male
80,80,5UmMjgZzL96Itv2IT9qj9i,nonstop,the cratez,2020-02-28,male
81,81,0vQ7AqLuCBWt0Wh9lHmHKv,c'est plus comme avant,ghetto phénomène,2020-11-13,male
82,82,6o8jDaIkDE9DiqhLbCGS0K,c'est plus comme avant,ghetto phénomène,2020-11-06,male
83,83,6NCkUgs2PLYHOLe4tlQZZp,money time,ghetto phénomène,2019-11-08,male
84,84,6HUoNyTpkxQoOO3RO9eaU4,en catimini,ghetto phénomène,2017-10-06,male
85,85,5wLBty35ulFouNrkLKpCFs,la vida loca,ghetto phénomène,2017-03-03,male
86,86,3Q404uwqG7b5CQ3Z3n6H4j,echo,nate57,2019-12-20,male
87,87,6zaPe0lyUcQNyO5BPQILZ6,revue (freetrack kompilation 2007 - 2009),nate57,2017-12-24,male
88,88,3FwWZUuxQKtX6Bx2U0cQMv,unter deck (mixtape),nate57,2017-05-03,male
89,89,1GzVnZijfWPQOJARd2ombD,gauna,nate57,2016-03-25,male
90,90,3cziok6jzTmiOFd9IGHOp0,land in sicht,nate57,2013-09-20,male
91,91,22mchVgeFiRFjc3StSIz0w,auf der jagd (mixtape),nate57,2011-08-12,male
92,92,6qgbVDX3G6IdlESEDUZnPY,stress aufm kiez,nate57,2010-06-25,male
93,93,0DoEiHPZnACow1ivlPxofB,verrückte ratten (mixtape),nate57,2009-02-27,male
94,94,35YBM6t3HeU5r9F0NE3tiB,willkommen auf st. pauli (mixtape),nate57,2008-03-15,male
95,95,2L31RjYHNNlydrzBEwDTD0,aghori,kool savas,2021-02-19,male
96,96,04TM4lYgmoNMKpJ7Tgy52K,kks,kool savas,2019-02-08,male
97,97,6QuWkRmCPHTXIJabMrLuSt,royal bunker,kool savas,2017-09-29,male
98,98,6woyj0loQeJjcX1t04aRZU,essahdamus,kool savas,2016-10-28,male
99,99,7sCNpTR1APqAO2bvWz18i7,märtyrer,kool savas,2014-11-14,male
100,100,0oclstbBk6K3h8SRrJefur,aura live,kool savas,2012-03-23,male
101,101,6nRsa7bnKI34FCPXkNbj4T,aura (exclusive version),kool savas,2011-11-11,male
102,102,5CF8sggi5aUSptomzuGzQB,"die john bello story, vol. 3",kool savas,2010-03-12,male
103,103,0jNspxo8cMJC4mYoZFNZkg,"die john bello story, vol. 2",kool savas,2009-03-27,male
104,104,1Hsmx2neiUUIZQlsEHuqTg,"die john bello story, vol. 2",kool savas,2008-10-17,male
105,105,4Ar6edrDeMZcH3NvISOTlJ,die john bello story,kool savas,2008-09-19,male
106,106,78KYH8e0CJwdYxyh4IUD1B,tot oder lebendig,kool savas,2007-11-02,male
107,107,2s8KeDUtTw0JU8mNEvZyxf,tot oder lebendig,kool savas,2007,male
108,108,4fJ87IXNujMGRsN4KQSiYQ,wer hatz erfunden?,kool savas,2006-12-01,male
109,109,6LWbXiwJZrt7f2qumiHniO,optik takeover,kool savas,2006-10-09,male
110,110,0ypFHP7dwXI7uAGzyLtsgN,optik takeover,kool savas,2006,male
111,111,1zzzToFPTK3axDyPAFH9Cn,one,kool savas,2005-03-29,male
112,112,35qXU3F2wuzPXe1d4Bj6UT,one,kool savas,2005-03-28,male
113,113,7mXXfQpAVFziSGbHy4AzdR,die besten tage sind gezählt,kool savas,2004-04-05,male
114,114,6fgwfOzruwYQQGc58GISJ3,der beste tag meines lebens,kool savas,2002-07-07,male
115,115,1IAyQS6B2laEvgkLxZPWkl,059,lockenumma19,2019-09-27,male
116,116,2XYMQN4r9l6pyB2WGpXE53,mirrorz,kazondabeat,2021-03-19,male
117,117,50DCFLrGKsiHCq3rT2yQuH,mood swingz,kazondabeat,2019-05-30,male
118,118,1gKqZjlTpgIcZFuPMuQjKY,freispruch,brecho,2021-03-26,male
119,119,2HFifvq6DrxSXwg0dPxerr,über nacht,brecho,2020-11-06,male
120,120,1171YHfX6uWsKPFK4D5Lyy,jiggx,jiggo,2020-09-18,male
